;NomVille;MAJ   ; Code Postal ; Code INSEE ;Code Région; Latitude ; Longitude ; Eloignement 
270;Dompierre-sur-Chalaronne;DOMPIERRE SUR CHALARONNE ;1400;1146;82;46.133333;4.9;1.53
271;L'Abergement-Clémenciat;L ABERGEMENT CLEMENCIAT ;1400;1001;82;46.15;4.916667;1.46
272;Châtillon-sur-Chalaronne;CHATILLON SUR CHALARONNE ;1400;1093;82;46.116667;4.966667;1.29
273;Sulignat;SULIGNAT   ;1400;1412;82;46.166667;4.966667;1.29
274;Sandrans;SANDRANS   ;1400;1393;82;46.066667;4.983333;1.23
275;Neuville-les-Dames;NEUVILLE LES DAMES ;1400;1272;82;46.166667;5.0;1.17
276;Chanoz-Châtenay;CHANOZ CHATENAY  ;1400;1084;82;46.183333;5.033333;1.06
277;Romans;ROMANS   ;1400;1328;82;46.116667;5.033333;1.06
278;Saint-Georges-sur-Renon;SAINT GEORGES SUR RENON;1400;1356;82;46.1;5.033333;1.06
279;Condeissiat;CONDEISSIAT   ;1400;1113;82;46.166667;5.083333;1.6
280;Lajoux;LAJOUX   ;1410;39274;43;46.383333;5.966667;1.86
281;Champfromier;CHAMPFROMIER   ;1410;1081;82;46.2;5.816667;1.61
282;Lélex;LELEX   ;1410;1210;82;46.3;5.95;2.06
283;Seyssel;SEYSSEL;1420;1407;0;45.959722;5.831944;
284;Chanay;CHANAY   ;1420;1082;82;46.0;5.783333;1.5
285;Surjoux;SURJOUX   ;1420;1413;82;46.016667;5.8;1.55
286;Corbonod;CORBONOD   ;1420;1118;82;45.95;5.816667;1.61
287;Ceignes;CEIGNES   ;1430;1067;82;46.116667;5.5;1.08
288;Peyriat;PEYRIAT   ;1430;1293;82;46.15;5.516667;1.35
289;Izenave;IZENAVE   ;1430;1191;82;46.033333;5.533333;1.62
290;Lantenay;LANTENAY   ;1430;1206;82;46.05;5.533333;1.22
291;Vieu-d'Izenave;VIEU D IZENAVE ;1430;1441;82;46.083333;5.533333;0.64
292;Maillat;MAILLAT   ;1430;1228;82;46.133333;5.55;0.83
293;Outriaz;OUTRIAZ   ;1430;1282;82;46.066667;5.55;0.83
294;Saint-Martin-du-Frêne;SAINT MARTIN DU FRENE;1430;1373;82;46.133333;5.55;0.83
295;Condamine;CONDAMINE   ;1430;1112;82;46.116667;5.566667;0.76
